2024-08-21 13:15:10 - {'stat': 'median', 'amp': 4.136265026721051, 'amp_std': 1.4839082791176852, 'phase': -2.2794971728584286, 'phase_std': 0.3638905204845473, 'amp2': 3.0850906226228973, 'amp2_std': 1.508436738573695, 'phase2': -3.127207415290514, 'phase2_std': 0.48066793726135293}
2024-08-21 13:15:11 - {'stat': 'median', 'amp': 5.174748433503398, 'amp_std': 2.3365852001747665, 'phase': -2.6134885736165914, 'phase_std': 0.5127484485198236, 'amp2': 4.401020550770961, 'amp2_std': 2.344359599272205, 'phase2': -3.5398367809031575, 'phase2_std': 0.6024795438429549}
2024-08-21 13:18:32 - {'stat': 'median', 'amp': 3.633477840092888, 'amp_std': 1.1423581494642883, 'phase': -3.009531346154768, 'phase_std': 0.379914162776988, 'amp2': 2.759214579993305, 'amp2_std': 1.1655806548497578, 'phase2': -4.239777813785343, 'phase2_std': 0.4938581415010097}
2024-08-21 13:25:12 - {'stat': 'median', 'amp': 3.79010595381297, 'amp_std': 1.137702504206091, 'phase': -2.904658751492429, 'phase_std': 0.3606315609753903, 'amp2': 2.8367153433451495, 'amp2_std': 1.142253755215609, 'phase2': -4.095196603863739, 'phase2_std': 0.48129162782011997}
2024-08-21 13:25:40 - {'stat': 'median', 'amp': 3.79010595381297, 'amp_std': 1.137702504206091, 'phase': -2.904658751492429, 'phase_std': 0.3606315609753903, 'amp2': 2.8367153433451495, 'amp2_std': 1.142253755215609, 'phase2': -4.095196603863739, 'phase2_std': 0.48129162782011997}
2024-08-21 13:28:12 - {'stat': 'median', 'amp': 3.79010595381297, 'amp_std': 1.137702504206091, 'phase': -2.904658751492429, 'phase_std': 0.3606315609753903, 'amp2': 2.8367153433451495, 'amp2_std': 1.142253755215609, 'phase2': -4.095196603863739, 'phase2_std': 0.48129162782011997}
2024-08-21 13:28:12 - {'stat': 'median', 'amp': 5.6334452177317775, 'amp_std': 1.8896448968791293, 'phase': -2.4773848844993385, 'phase_std': 0.36524947731285984, 'amp2': 4.3846759215226605, 'amp2_std': 1.8968157732710238, 'phase2': -3.398688167052176, 'phase2_std': 0.46850720674473884}
2024-08-21 13:28:13 - {'stat': 'median', 'amp': 6.771512365221424, 'amp_std': 2.6456386122810307, 'phase': 3.582485597833715, 'phase_std': 0.4537950184613998, 'amp2': 5.908669909336238, 'amp2_std': 2.64947216604558, 'phase2': 2.6402317162131475, 'phase2_std': 0.52020888471254}
2024-08-21 13:28:13 - {'stat': 'median', 'amp': 8.393968682788781, 'amp_std': 3.92127330467962, 'phase': -2.4519398215830974, 'phase_std': 0.5042841338171735, 'amp2': 7.172999054181867, 'amp2_std': 3.945808715113598, 'phase2': -3.3593376008386406, 'phase2_std': 0.5878387567547257}
2024-08-21 13:28:14 - {'stat': 'median', 'amp': 5.717719741161666, 'amp_std': 1.7993543185912786, 'phase': -2.4850877087848424, 'phase_std': 0.34367588480431877, 'amp2': 4.462500199462895, 'amp2_std': 1.802734660487966, 'phase2': -3.4172817581687505, 'phase2_std': 0.4401940176565536}
