2024-08-30 10:25:24 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 15:32:18 - {'A1_std': 0.020617465264861877, 'phi1_std': 1.2817574475128146e-19, 'A2_std': 0.016135091740111192, 'phi2_std': 0.0, 'mean_std': 0.008109464710562122}
2024-08-30 15:32:18 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:32:18 - {'A1': 4.7032587231868055, 'phi1': 0.9585197009274937, 'A2': 4.514505167612969, 'phi2': 4.1673426112170455, 'mean': 0.0656947123767516}
2024-08-30 15:32:18 - {'A1_std': 0.3022276411686744, 'phi1_std': 0.052121070935030996, 'A2_std': 0.30206796844401157, 'phi2_std': 0.054561667585407696, 'mean_std': 0.004933913792288001}
2024-08-30 15:32:18 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:32:18 - {'A1': 2.469352583789299, 'phi1': 0.6543008683886038, 'A2': 2.412164297892872, 'phi2': 3.8926909042868494, 'mean': -0.0020992382958440275}
2024-08-30 15:32:18 - {'A1_std': 0.14296179234846934, 'phi1_std': 0.049551670327753886, 'A2_std': 0.14300724106779464, 'phi2_std': 0.050904334303531244, 'mean_std': 0.0023858493900214576}
2024-08-30 15:32:18 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:32:18 - {'A1': 1.4555493988547008e-19, 'phi1': -0.43195915949576563, 'A2': 1.3490582960415948e-19, 'phi2': 0.248184026464341, 'mean': -1.9263448444151518e-11}
2024-08-30 15:32:18 - {'A1_std': 0.02242355376994423, 'phi1_std': 4.407979095459548e-19, 'A2_std': 0.01725277685243116, 'phi2_std': 0.0, 'mean_std': 0.009330760155902574}
2024-08-30 15:32:18 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:32:18 - {'A1': 7.796888131651199e-20, 'phi1': -0.10209613423671407, 'A2': 8.785374133530895e-20, 'phi2': 0.989465401610695, 'mean': 1.549376212158764e-11}
2024-08-30 15:32:18 - {'A1_std': 0.014505598578454666, 'phi1_std': 0.0, 'A2_std': 0.010777837671733658, 'phi2_std': 0.0, 'mean_std': 0.0076922726033789275}
2024-08-30 15:32:19 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:32:19 - {'A1': 5.6141562725122975, 'phi1': -0.09562416903705481, 'A2': 5.4797496461113955, 'phi2': 3.1550868341426823, 'mean': -0.04929179395072327}
2024-08-30 15:32:19 - {'A1_std': 0.21506958106347546, 'phi1_std': 0.043575870068161875, 'A2_std': 0.21606131487920208, 'phi2_std': 0.044613680515936324, 'mean_std': 0.0041299604640815885}
2024-08-30 15:32:20 - -
2024-08-30 15:33:02 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:33:02 - {'A1': 3.7157774532914987, 'phi1': -1.1775375052071249, 'A2': 3.6808109949330645, 'phi2': 2.1419294591714464, 'mean': 0.040763387579485465}
2024-08-30 15:33:02 - {'A1_std': 0.41133304069103743, 'phi1_std': 0.11803822703455787, 'A2_std': 0.40564680717134655, 'phi2_std': 0.12099397312747193, 'mean_std': 0.00762452318956818}
2024-08-30 15:33:02 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:33:02 - {'A1': 4.703258638262566, 'phi1': 0.9585197000824911, 'A2': 4.514505082816624, 'phi2': 4.167342609792078, 'mean': 0.06569471241855485}
2024-08-30 15:33:02 - {'A1_std': 0.3022276399699153, 'phi1_std': 0.05212107202221304, 'A2_std': 0.30206796716633366, 'phi2_std': 0.05457445566697145, 'mean_std': 0.004933913789066027}
2024-08-30 15:33:02 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 15:33:02 - {'A1': 2.469352567577226, 'phi1': 0.6543008489357564, 'A2': 2.412164281715686, 'phi2': 3.8926908842259453, 'mean': -0.00209923812882039}
2024-08-30 15:33:02 - {'A1_std': 0.1429617913773346, 'phi1_std': 0.049551670947741544, 'A2_std': 0.14300724008833485, 'phi2_std': 0.05090433494238045, 'mean_std': 0.002385849388389766}
2024-08-30 15:33:02 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
